name,team,date,injury,sport
Chidera Ejuke,Sevilla FC,21-10-2024,thigh,soccer
Thibaut Courtois,Real Madrid CF,23-10-2024,adductors,soccer
Jailson,RC Celta de Vigo,18-10-2024,adductors,soccer
Giovani Lo Celso,Real Betis Balompié,17-10-2024,thigh,soccer
Yaser Asprilla,Girona FC,11-10-2024,ankle,soccer
Daley Blind,Girona FC,30-09-2024,unknown,soccer
Donny van de Beek,Girona FC,22-10-2024,blow,soccer
Pablo Barrios,Atlético de Madrid,20-10-2024,muscle_injury,soccer
Ørjan Nyland,Sevilla FC,26-10-2024,knee,soccer
Abel Ruiz,Girona FC,20-10-2024,muscle_injury,soccer
Rafa Mir,Valencia CF,27-09-2024,thigh,soccer
Portu,Girona FC,05-10-2024,ankle,soccer
Iván Martín,Girona FC,22-10-2024,calf,soccer
Luca de la Torre,RC Celta de Vigo,11-09-2024,ankle,soccer
Pau López,Girona FC,10-10-2024,bone_edema,soccer
Eric García,FC Barcelona,20-10-2024,adductors,soccer
Javi Puado,RCD Espanyol,01-10-2024,knee,soccer
Arsen Zakharyan,Real Sociedad,01-08-2024,tendon tear,soccer
Marcos Llorente,Atlético de Madrid,03-10-2024,thigh,soccer
Suso,Sevilla FC,21-10-2024,adductors,soccer
Robin Le Normand,Atlético de Madrid,01-10-2024,head_trauma,soccer
Viktor Tsygankov,Girona FC,03-10-2024,thigh,soccer
Rodrygo,Real Madrid CF,22-10-2024,thigh,soccer
Jhon Solís,Girona FC,17-10-2024,muscle_injury,soccer
Ronald Araujo,FC Barcelona,15-07-2024,thigh,soccer
Saúl Ñíguez,Sevilla FC,25-09-2024,hip,soccer
Oriol Romeu,Girona FC,30-09-2024,tendon tear,soccer
Unai Simón,Athletic Club,18-07-2024,wrist,soccer
Ferran Torres,FC Barcelona,07-10-2024,thigh,soccer
Borja Garcés,Atlético de Madrid,26-04-2024,cruciate_ligament,soccer
Isco,Real Betis Balompié,06-09-2024,fibula,soccer
Andreas Christensen,FC Barcelona,22-08-2024,achilles_tendon,soccer
David Alaba,Real Madrid CF,18-12-2023,cruciate_ligament,soccer
Alfonso Espino,Rayo Vallecano,02-09-2024,fibula,soccer
Mouctar Diakhaby,Valencia CF,03-03-2024,knee,soccer
Hamari Traoré,Real Sociedad,02-09-2024,cruciate_ligament,soccer
William Carvalho,Real Betis Balompié,13-09-2024,achilles_tendon,soccer
Daniel Carvajal,Real Madrid CF,06-10-2024,cruciate_ligament,soccer
Marc-André ter Stegen,FC Barcelona,23-09-2024,patellar_tendon,soccer
Thierry Correia,Valencia CF,27-10-2024,cruciate_ligament,soccer
Marc Bernal,FC Barcelona,27-08-2024,cruciate_ligament,soccer
Jaylen Brown,Boston Celtics,11-01-2017,ankle,basketball
Jaylen Brown,Boston Celtics,13-02-2017,hip,basketball
Jaylen Brown,Boston Celtics,06-12-2017,eye,basketball
Jaylen Brown,Boston Celtics,21-12-2017,achilles,basketball
Jaylen Brown,Boston Celtics,27-12-2017,knee,basketball
Jaylen Brown,Boston Celtics,09-03-2018,concussion,basketball
Jaylen Brown,Boston Celtics,11-03-2018,concussion,basketball
Jaylen Brown,Boston Celtics,30-04-2018,hamstring,basketball
Jaylen Brown,Boston Celtics,01-11-2018,foot,basketball
Jaylen Brown,Boston Celtics,26-11-2018,back,basketball
Jaylen Brown,Boston Celtics,12-12-2018,illness,basketball
Jaylen Brown,Boston Celtics,01-04-2019,back,basketball
Jaylen Brown,Boston Celtics,30-10-2019,illness,basketball
Jaylen Brown,Boston Celtics,30-12-2019,illness,basketball
Jaylen Brown,Boston Celtics,31-12-2019,illness,basketball
Jaylen Brown,Boston Celtics,16-01-2020,thumb,basketball
Jaylen Brown,Boston Celtics,22-01-2020,ankle,basketball
Jaylen Brown,Boston Celtics,07-02-2020,ankle,basketball
Jaylen Brown,Boston Celtics,13-02-2020,calf,basketball
Jaylen Brown,Boston Celtics,04-03-2020,hamstring,basketball
Kris Dunn,Boston Celtics,03-02-2017,hand,basketball
Kris Dunn,Boston Celtics,07-10-2017,finger,basketball
Kris Dunn,Boston Celtics,19-10-2017,finger,basketball
